,Car Model,Year,Kilometers Driven,Fuel Type,Transmission Type,Price
838,Hyundai Tucson New,2017,88655.0,Diesel,Automatic,1408449.0
839,Hyundai VENUE,2019,36417.0,Petrol,Manual,805599.0
840,Audi Q3,2013,89740.0,Diesel,Automatic,1137599.0
841,Toyota Corolla Altis,2014,127926.0,Diesel,Manual,643399.0
842,Maruti Vitara Brezza,2017,56374.0,Diesel,Manual,661999.0
843,Maruti Vitara Brezza,2016,44427.0,Diesel,Manual,643599.0
844,Maruti Ertiga,2013,49425.0,Diesel,Manual,528899.0
845,Maruti Alto K10,2018,59822.0,Petrol,Automatic,330999.0
846,Maruti S PRESSO,2020,20681.0,Petrol,Manual,442099.0
847,Maruti Ritz,2014,80192.0,Diesel,Manual,352799.0
848,Nissan Terrano,2016,69710.0,Petrol,Manual,590699.0
849,Ford Ecosport,2018,74204.0,Diesel,Manual,779399.0
850,Maruti Ciaz,2015,122884.0,Diesel,Manual,458799.0
851,Ford Ecosport,2021,34055.0,Diesel,Manual,1082899.0
852,Hyundai Creta,2015,51763.0,Diesel,Manual,736699.0
853,Maruti Ciaz,2016,88616.0,Diesel,Manual,546999.0
854,Maruti Alto K10,2017,45891.0,Petrol,Manual,377599.0
855,Maruti Alto,2021,26773.0,Petrol + CNG,Manual,499999.0
856,Ford Ecosport,2021,26367.0,Diesel,Manual,1096899.0
857,Mahindra Scorpio,2016,74939.0,Diesel,Manual,1133699.0
858,Hyundai Grand i10,2015,87019.0,Diesel,Manual,359599.0
859,Maruti Swift,2016,106627.0,Diesel,Manual,397899.0
860,Maruti Ciaz,2017,83350.0,Diesel,Manual,645499.0
861,Ford Ecosport,2018,55483.0,Diesel,Manual,771199.0
862,Maruti Swift,2015,46867.0,Diesel,Manual,390899.0
863,Honda Amaze,2013,48160.0,Diesel,Manual,307499.0
864,Maruti Alto K10,2017,56783.0,Petrol,Manual,376399.0
865,Maruti Vitara Brezza,2017,67116.0,Diesel,Manual,618799.0
866,Mercedes Benz E Class,2013,53524.0,Diesel,Automatic,1200899.0
867,Maruti Swift,2014,47617.0,Diesel,Manual,326699.0
868,Maruti S Cross,2015,46980.0,Diesel,Manual,605099.0
869,Maruti Alto,2021,31642.0,Petrol,Manual,378849.0
870,Maruti Swift,2013,103753.0,Diesel,Manual,316799.0
871,Ford Ecosport,2018,53110.0,Diesel,Manual,762149.0
872,Maruti Baleno,2016,55769.0,Diesel,Manual,489899.0
873,Ford Ecosport,2017,78972.0,Diesel,Manual,574599.0
874,Maruti S Cross,2015,75945.0,Diesel,Manual,606399.0
875,Toyota Fortuner,2013,117736.0,Diesel,Manual,1143599.0
876,BMW 5 Series,2013,83330.0,Diesel,Automatic,1371599.0
877,Maruti Alto K10,2018,68078.0,Petrol,Manual,360499.0
878,Hyundai Creta,2016,85153.0,Diesel,Manual,756599.0
879,Hyundai Grand i10,2015,73894.0,Diesel,Manual,369399.0
880,Maruti Vitara Brezza,2017,75754.0,Diesel,Manual,679799.0
881,Maruti Swift,2017,51088.0,Diesel,Manual,562299.0
882,Hyundai i20,2014,89083.0,Diesel,Manual,399799.0
883,Maruti Vitara Brezza,2016,79417.0,Diesel,Manual,572799.0
884,Maruti Baleno,2015,70755.0,Diesel,Manual,486499.0
885,Hyundai Grand i10,2015,90449.0,Diesel,Manual,382699.0
886,Ford Ecosport,2017,113206.0,Diesel,Manual,542999.0
887,Maruti Vitara Brezza,2017,81842.0,Diesel,Manual,718899.0
888,Ford Ecosport,2019,42949.0,Diesel,Manual,830499.0
889,Maruti Vitara Brezza,2017,69262.0,Diesel,Manual,644799.0
890,Ford Ecosport,2013,76208.0,Diesel,Manual,432999.0
891,Renault Duster,2016,70946.0,Diesel,Manual,654299.0
892,Ford Ecosport,2016,35215.0,Diesel,Manual,575699.0
893,Maruti Vitara Brezza,2017,90969.0,Diesel,Manual,724999.0
894,Maruti Swift,2015,65763.0,Diesel,Manual,388099.0
895,Maruti Swift,2014,45796.0,Diesel,Manual,384499.0
896,Maruti Swift,2014,55145.0,Diesel,Manual,365399.0
897,Maruti Dzire,2017,86650.0,Diesel,Automatic,596599.0
898,Maruti Vitara Brezza,2017,88480.0,Diesel,Manual,636499.0
899,Ford Ecosport,2016,89313.0,Diesel,Manual,565599.0
900,Maruti Swift,2017,97709.0,Diesel,Manual,462199.0
901,Ford Ecosport,2013,81227.0,Diesel,Manual,421299.0
902,Maruti Swift,2015,92673.0,Diesel,Manual,376599.0
903,Toyota Etios,2014,83974.0,Diesel,Manual,477699.0
904,Maruti Vitara Brezza,2016,72730.0,Diesel,Manual,595599.0
905,Maruti Swift,2017,98001.0,Diesel,Manual,442599.0
906,Maruti Swift,2014,102991.0,Diesel,Manual,339799.0
907,Ford Ecosport,2014,51221.0,Diesel,Manual,448399.0
908,Maruti S Cross,2017,37521.0,Diesel,Manual,745099.0
909,Ford Ecosport,2017,72887.0,Diesel,Manual,697099.0
910,Maruti Vitara Brezza,2016,54904.0,Diesel,Manual,649099.0
911,Maruti Swift,2015,69898.0,Diesel,Manual,399499.0
912,Maruti Swift,2015,83583.0,Diesel,Manual,398899.0
913,Ford Ecosport,2017,26892.0,Diesel,Manual,772899.0
914,Maruti Vitara Brezza,2017,82051.0,Diesel,Manual,620799.0
915,Ford Ecosport,2017,71633.0,Diesel,Manual,661499.0
916,Maruti Swift,2017,52839.0,Diesel,Manual,494399.0
917,Maruti Vitara Brezza,2016,57707.0,Diesel,Manual,674199.0
918,Maruti Vitara Brezza,2017,61982.0,Diesel,Manual,680799.0
919,Maruti Vitara Brezza,2016,72183.0,Diesel,Manual,651099.0
920,Maruti Swift,2015,112105.0,Diesel,Manual,370699.0
921,Maruti S Cross,2018,38780.0,Diesel,Manual,862499.0
922,Maruti Swift,2015,86816.0,Diesel,Manual,401499.0
923,Maruti S Cross,2018,40429.0,Diesel,Manual,843099.0
924,Maruti Swift,2014,76456.0,Diesel,Manual,329599.0
925,Maruti Swift,2015,56999.0,Diesel,Manual,411099.0
926,Maruti Swift,2013,68445.0,Diesel,Manual,325299.0
927,Maruti Swift,2015,76491.0,Diesel,Manual,394599.0
928,Ford Ecosport,2013,114858.0,Diesel,Manual,352699.0
929,Maruti Swift,2014,72732.0,Diesel,Manual,383399.0
930,Maruti Swift,2014,82476.0,Diesel,Manual,330599.0
931,Maruti Vitara Brezza,2016,98820.0,Diesel,Manual,582799.0
932,Maruti Swift,2013,76978.0,Diesel,Manual,319699.0
933,Ford Ecosport,2016,87710.0,Diesel,Manual,571399.0
934,Maruti Swift,2014,92158.0,Diesel,Manual,361499.0
935,Maruti S Cross,2017,96787.0,Diesel,Manual,709199.0
936,Maruti S Cross,2015,83594.0,Diesel,Manual,474699.0
937,Maruti Vitara Brezza,2016,102367.0,Diesel,Manual,580399.0
938,Maruti S Cross,2017,91763.0,Diesel,Manual,702999.0
939,Maruti Vitara Brezza,2016,90492.0,Diesel,Manual,685599.0
940,Maruti Swift,2014,73654.0,Diesel,Manual,385499.0
941,Hyundai Grand i10,2018,9498.0,Petrol,Manual,487699.0
942,Hyundai Verna,2019,81902.0,Petrol,Manual,981699.0
943,KIA SELTOS,2020,15434.0,Petrol,Manual,1097499.0
944,Mercedes Benz C Class,2014,37531.0,Petrol,Automatic,2053699.0
945,Maruti Swift,2020,17435.0,Petrol,Manual,592499.0
946,Maruti Dzire,2018,12354.0,Petrol,Automatic,664999.0
947,Hyundai i10,2009,21723.0,Petrol,Manual,210249.0
948,Hyundai i10,2009,44327.0,Petrol,Manual,199699.0
949,Maruti Baleno,2020,13525.0,Petrol,Manual,600999.0
950,Hyundai i10,2010,59396.0,Petrol,Manual,230749.0
951,Renault Kwid,2020,7448.0,Petrol,Manual,390399.0
952,Honda Amaze,2020,21737.0,Petrol,Manual,598799.0
953,Maruti Alto K10,2011,38042.0,Petrol,Manual,237899.0
954,Maruti Baleno,2020,12778.0,Petrol,Manual,557299.0
955,Hyundai i10,2011,61943.0,Petrol,Manual,251999.0
956,Hyundai Grand i10,2015,22695.0,Petrol,Manual,392399.0
957,Maruti Baleno,2019,25009.0,Petrol,Manual,545299.0
958,Maruti New Wagon-R,2022,6943.0,Petrol,Manual,587199.0
959,Hyundai GRAND I10 NIOS,2020,2487.0,Petrol,Manual,658399.0
960,Renault Kwid,2021,35187.0,Petrol,Automatic,498899.0
961,Hyundai Xcent,2018,12788.0,Petrol,Manual,476299.0
962,Maruti Baleno,2020,36041.0,Petrol,Manual,551299.0
963,Renault Duster,2014,57582.0,Diesel,Manual,425899.0
964,Maruti New Wagon-R,2020,20862.0,Petrol,Manual,540299.0
965,Hyundai Verna,2018,74743.0,Diesel,Automatic,987399.0
966,Tata Tiago,2016,28216.0,Petrol,Manual,359499.0
967,Hyundai VENUE,2021,14639.0,Petrol,Manual,839599.0
968,Toyota Corolla Altis,2017,128020.0,Petrol + CNG,Manual,772499.0
969,Honda Jazz,2018,30916.0,Petrol,Automatic,696299.0
970,Honda City,2019,41236.0,Petrol,Manual,831039.0
971,Maruti Baleno,2016,26314.0,Petrol,Automatic,538399.0
972,Hyundai Santro Xing,2012,94959.0,Petrol,Manual,236999.0
973,Mahindra Scorpio,2017,52999.0,Diesel,Manual,1074399.0
974,Mahindra XUV500,2021,20809.0,Diesel,Automatic,1883699.0
975,Ford Ecosport,2016,46581.0,Petrol,Manual,641199.0
976,Maruti Baleno,2016,42332.0,Petrol,Manual,494849.0
977,Jeep Compass,2017,77478.0,Diesel,Manual,1107499.0
978,Maruti Alto K10,2012,87463.0,Petrol,Manual,218899.0
979,Maruti Dzire,2019,41332.0,Petrol,Manual,639899.0
980,Renault Kwid,2018,25236.0,Petrol,Manual,342199.0
981,Hyundai NEW SANTRO,2019,14005.0,Petrol,Automatic,494399.0
982,Maruti Baleno,2019,28725.0,Petrol,Manual,664799.0
983,Maruti Swift Dzire,2013,50409.0,Diesel,Manual,303099.0
984,Maruti Celerio,2019,27718.0,Petrol,Manual,467699.0
985,Maruti Celerio,2015,122416.0,Petrol,Automatic,346099.0
986,Maruti Alto,2020,9044.0,Petrol,Manual,344499.0
987,Tata Tiago,2019,18803.0,Petrol,Automatic,547999.0
988,Hyundai Creta,2020,7757.0,Petrol,Manual,1328499.0
989,Maruti Swift Dzire,2014,34201.0,Petrol,Manual,417299.0
990,Maruti Swift,2020,14030.0,Petrol,Manual,762599.0
991,Maruti Vitara Brezza,2020,17926.0,Petrol,Automatic,1067899.0
992,Maruti Wagon R 1.0,2018,19064.0,Petrol,Manual,418699.0
993,Maruti Baleno,2020,29525.0,Petrol,Manual,607999.0
994,Ford Ecosport,2014,156491.0,Diesel,Manual,408299.0
995,Renault Kwid,2017,25910.0,Petrol,Manual,333699.0
996,Maruti Celerio,2015,42179.0,Petrol,Automatic,392099.0
997,Maruti Baleno,2018,21684.0,Petrol,Manual,589199.0
998,Maruti Ciaz,2016,35185.0,Petrol,Manual,583899.0
999,Maruti Baleno,2019,16402.0,Petrol,Manual,685499.0
1000,Hyundai NEW SANTRO,2020,17336.0,Petrol,Manual,473899.0
1001,Hyundai Elite i20,2020,28785.0,Petrol,Manual,710699.0
1002,Maruti Vitara Brezza,2017,26350.0,Diesel,Manual,663099.0
1003,Maruti Dzire,2018,20053.0,Petrol,Manual,634299.0
1004,Honda Jazz,2015,46165.0,Petrol + CNG,Manual,509599.0
1005,Hyundai Verna,2014,78904.0,Petrol,Manual,516599.0
1006,Mahindra Scorpio,2020,26121.0,Diesel,Manual,1513099.0
1007,Honda City,2010,94818.0,Petrol,Manual,354199.0
1008,Maruti Baleno,2015,48976.0,Petrol,Manual,479199.0
1009,Maruti Swift,2014,61811.0,Petrol,Manual,401299.0
1010,Hyundai i20,2013,38609.0,Diesel,Manual,312099.0
1011,Mahindra XUV500,2017,84279.0,Diesel,Manual,969399.0
1012,Mahindra XUV 3OO,2020,22100.0,Petrol,,824299.0
1013,Maruti Celerio,2019,34338.0,Petrol + CNG,Manual,511899.0
1014,Maruti Ciaz,2017,55856.0,Diesel,Manual,685199.0
1015,Tata NEXON,2021,6694.0,Diesel,Manual,1261699.0
1016,Maruti Vitara Brezza,2019,31516.0,Diesel,Manual,883799.0
1017,Ford Ecosport,2018,89846.0,Petrol + CNG,Manual,728499.0
1018,Hyundai Elite i20,2015,53859.0,Diesel,Manual,428399.0
1019,Mahindra Scorpio,2018,42162.0,Diesel,Manual,1093699.0
1020,Toyota Etios Liva,2012,43511.0,Petrol,Manual,302399.0
1021,Maruti IGNIS,2018,44161.0,Petrol,Automatic,567899.0
1022,Maruti Alto 800,2018,35617.0,Petrol,Manual,312099.0
1023,Mahindra XUV500,2014,79472.0,Diesel,Manual,584699.0
1024,Renault Duster,2014,159515.0,Diesel,Manual,383499.0
1025,Maruti Baleno,2016,64198.0,Diesel,Manual,468299.0
1026,Mahindra Thar,2017,45609.0,Diesel,Manual,716579.0
1027,Ford Ecosport,2018,38777.0,Diesel,Manual,736999.0
1028,Maruti XL6,2019,38885.0,Petrol,Manual,1001499.0
1029,Hyundai Grand i10,2017,52627.0,Petrol + CNG,Manual,504999.0
1030,Hyundai Creta,2017,78220.0,Diesel,Manual,765299.0
1031,Maruti Ertiga,2013,119546.0,Diesel,Manual,419799.0
1032,Hyundai Elite i20,2015,45778.0,Diesel,Manual,451999.0
1033,Maruti Baleno,2017,90618.0,Petrol,Automatic,577299.0
1034,Maruti Alto 800,2019,42236.0,Petrol,Manual,315799.0
1035,Maruti Ertiga,2013,161137.0,Diesel,Manual,465899.0
1036,Maruti Ciaz,2017,73043.0,Diesel,Manual,609599.0
1037,Maruti Swift,2013,71491.0,Diesel,Manual,303299.0
1038,Maruti Swift,2013,122629.0,Diesel,Manual,293399.0
1039,Maruti Swift Dzire,2015,76009.0,Diesel,Manual,491799.0
1040,Volkswagen Ameo,2017,40325.0,Diesel,Automatic,628799.0
1041,Hyundai Verna,2015,78498.0,Diesel,Manual,428299.0
1042,Maruti Swift,2013,44102.0,Diesel,Manual,329899.0
1043,Maruti Swift,2014,107148.0,Diesel,Manual,304799.0
1044,Maruti Swift Dzire,2016,58807.0,Diesel,Manual,463199.0
1045,Maruti Swift Dzire,2014,76932.0,Diesel,Manual,439299.0
1046,Ford Ecosport,2019,50235.0,Diesel,Manual,777999.0
1047,Maruti Swift,2015,30528.0,Diesel,Manual,408499.0
1048,Hyundai Elite i20,2014,73924.0,Diesel,Manual,421099.0
1049,Hyundai i20,2014,72852.0,Diesel,Manual,363999.0
1050,Maruti Vitara Brezza,2016,57261.0,Diesel,Manual,599899.0
1051,Honda City,2014,86449.0,Diesel,Manual,474099.0
1052,Toyota Fortuner,2013,76155.0,Diesel,Automatic,1226199.0
1053,Mahindra Scorpio,2016,87784.0,Diesel,Manual,963499.0
1054,Toyota Fortuner,2013,78267.0,Diesel,Manual,1168899.0
1055,Maruti Swift,2014,68589.0,Diesel,Manual,327399.0
1056,Maruti Swift,2015,47493.0,Diesel,Manual,418499.0
1057,Maruti Dzire,2018,91507.0,Diesel,Manual,507399.0
1058,Ford Ecosport,2014,50178.0,Diesel,Manual,438599.0
1059,Hyundai Elite i20,2015,68431.0,Diesel,Manual,492299.0
1060,Maruti Swift,2015,92713.0,Diesel,Manual,415499.0
1061,Ford Ecosport,2013,85548.0,Diesel,Manual,377099.0
1062,Ford Ecosport,2017,8485.0,Diesel,Manual,743499.0
1063,Toyota Innova,2014,70100.0,Diesel,Manual,989999.0
1064,Skoda Rapid,2019,10435.0,Petrol,Manual,800799.0
1065,Maruti Wagon R 1.0,2015,32333.0,Petrol,Manual,348999.0
1066,Honda City,2012,43143.0,Petrol,Automatic,491199.0
1067,Nissan MAGNITE,2021,16264.0,Petrol,,921999.0
1068,Toyota Corolla Altis,2015,95726.0,Petrol,Manual,618499.0
1069,Maruti Ertiga,2019,20390.0,Petrol,Manual,1007099.0
1070,Maruti Swift,2016,14907.0,Petrol,Manual,504399.0
1071,Hyundai i20,2012,91336.0,Petrol,Manual,289799.0
1072,Honda Amaze,2014,46338.0,Petrol,Manual,475299.0
1073,Maruti Swift Dzire,2014,116421.0,Diesel,Manual,527499.0
1074,Renault Kiger,2021,2727.0,Petrol,,1053299.0
1075,Nissan Terrano,2018,36197.0,Diesel,Automatic,981499.0
1076,Renault Kiger,2022,5914.0,Petrol,,995999.0
1077,Tata TIGOR,2021,6002.0,Petrol,Manual,669199.0
1078,Hyundai Creta,2021,2618.0,Petrol,Manual,1518299.0
1079,Renault Duster,2018,33839.0,Diesel,Automatic,1081699.0
1080,Volkswagen Vento,2014,48999.0,Petrol,Manual,534224.0
1081,Maruti Wagon R 1.0,2015,12785.0,Petrol,Manual,390099.0
1082,Hyundai i10,2014,31382.0,Petrol,Manual,388199.0
1083,Volkswagen Polo,2020,17595.0,Petrol,Manual,779199.0
1084,Renault Kwid,2021,17119.0,Petrol,Manual,442699.0
1085,Maruti New Wagon-R,2020,10062.0,Petrol,Manual,588799.0
1086,Honda Amaze,2014,45778.0,Petrol,Manual,475799.0
1087,Hyundai i10,2013,39641.0,Petrol,Manual,332699.0
1088,Ford Ecosport,2021,10543.0,Diesel,Manual,1068999.0
1089,Maruti Swift Dzire,2015,91928.0,Petrol,Manual,474299.0
1090,Volkswagen Polo,2019,27641.0,Petrol,Manual,662599.0
1091,Maruti Ciaz,2016,32602.0,Petrol,Manual,666899.0
1092,Maruti Celerio,2020,28399.0,Petrol,Manual,498499.0
1093,Mahindra XUV500,2013,61645.0,Diesel,Manual,693599.0
1094,Renault Kiger,2021,9756.0,Petrol,,753599.0
1095,Maruti Swift,2017,53478.0,Diesel,Manual,629599.0
1096,Honda Amaze,2015,49091.0,Petrol,Manual,518899.0
1097,Hyundai VENUE,2021,2966.0,Petrol,Manual,870999.0
1098,Renault Kiger,2021,4626.0,Petrol,,805099.0
1099,Datsun Redi Go,2022,600.0,Petrol,Manual,508499.0
1100,Maruti Alto 800,2015,24372.0,Petrol,Manual,293899.0
1101,KIA SELTOS,2020,18974.0,Diesel,Manual,1440799.0
1102,Maruti Swift,2021,5745.0,Petrol,Automatic,882799.0
1103,Volkswagen Polo,2016,79218.0,Petrol,Automatic,620399.0
1104,KIA SONET,2020,33344.0,Diesel,,1051299.0
1105,Hyundai Grand i10,2015,16097.0,Petrol,Manual,422299.0
1106,Toyota Innova,2010,225759.0,Diesel,Manual,468599.0
1107,Renault Duster,2020,11133.0,Petrol,Manual,1023799.0
1108,Hyundai Elite i20,2015,25448.0,Petrol,Manual,496099.0
1109,KIA SONET,2020,10774.0,Petrol,,1352849.0
1110,Volkswagen Polo,2016,62214.0,Petrol,Automatic,676099.0
1111,Maruti Swift,2014,81190.0,Petrol,Manual,428199.0
1112,Honda Brio,2014,28462.0,Petrol,Manual,410499.0
1113,Renault Kwid,2019,14370.0,Petrol,Manual,412099.0
1114,Hyundai i20,2013,63658.0,Petrol,Manual,372399.0
1115,Hyundai i10,2014,45525.0,Petrol,Manual,388199.0
1116,Maruti Celerio,2017,53003.0,Petrol,Automatic,435099.0
1117,Hyundai i20,2012,56758.0,Petrol,Manual,361999.0
1118,Honda City,2021,2234.0,Petrol,Automatic,1367599.0
1119,Hyundai Grand i10,2018,94017.0,Diesel,Manual,558299.0
1120,Tata Tiago,2018,56655.0,Petrol,Manual,518299.0
1121,Hyundai i20,2013,70663.0,Petrol,Manual,447299.0
1122,Maruti Wagon R 1.0,2013,37243.0,Petrol,Manual,340199.0
1123,Hyundai Creta,2021,18185.0,Diesel,Manual,1425599.0
1124,Maruti Baleno,2019,10848.0,Petrol,Manual,627599.0
1125,KIA SONET,2020,9817.0,Petrol,,1211699.0
1126,Maruti Celerio,2017,47819.0,Petrol,Automatic,444549.0
1127,Hyundai Xcent,2015,44847.0,Petrol,Manual,485699.0
1128,Maruti Swift,2017,44482.0,Petrol,Manual,542599.0
1129,Volkswagen Vento,2016,81258.0,Petrol,Manual,551899.0
1130,Ford Ecosport,2016,38370.0,Petrol,Manual,693299.0
1131,Hyundai Grand i10,2017,32230.0,Petrol,Manual,457699.0
1132,Skoda Octavia,2017,49573.0,Petrol,Automatic,1337699.0
1133,Hyundai NEW SANTRO,2019,11607.0,Petrol,Manual,480499.0
1134,Maruti Swift,2016,47176.0,Petrol,Manual,565499.0
1135,KIA SELTOS,2020,19393.0,Petrol,Manual,1163849.0
1136,Maruti New Wagon-R,2020,76527.0,Petrol,Manual,580199.0
1137,Maruti Alto K10,2018,7576.0,Petrol,Automatic,472299.0
1138,Maruti Alto 800,2017,21457.0,Petrol,Manual,309559.0
1139,Maruti Swift,2020,9222.0,Petrol,Automatic,854749.0
1140,Hyundai Grand i10,2017,34047.0,Petrol,Manual,469699.0
1141,Renault Kiger,2021,10893.0,Petrol,Automatic,845799.0
1142,Renault Kwid,2021,5451.0,Petrol,Manual,546099.0
1143,Maruti Baleno,2020,24204.0,Petrol,Manual,726899.0
1144,Maruti Celerio,2016,28331.0,Petrol,Automatic,469799.0
1145,Hyundai Xcent,2015,38058.0,Petrol,Manual,480199.0
1146,Renault Duster,2016,64992.0,Diesel,Automatic,711499.0
1147,Honda Jazz,2016,39469.0,Petrol,Manual,565899.0
1148,Renault Duster,2014,96473.0,Petrol,Manual,612399.0
1149,Tata Tiago,2019,47274.0,Petrol,Manual,497199.0
1150,Hyundai Elite i20,2016,31686.0,Petrol,Manual,627199.0
1151,Maruti Alto 800,2018,8388.0,Petrol,Manual,350599.0
1152,Maruti Wagon R 1.0,2015,30835.0,Petrol,Manual,361399.0
1153,Maruti Alto,2020,9799.0,Petrol,Manual,408399.0
1154,Hyundai VENUE,2019,23379.0,Diesel,Manual,1177599.0
1155,Maruti Wagon R 1.0,2012,25674.0,Petrol,Manual,328999.0
1156,Tata NEXON,2019,13462.0,Diesel,Automatic,1021399.0
1157,Volkswagen Polo,2021,4990.0,Petrol,Manual,998799.0
1158,Hyundai Creta,2016,57754.0,Diesel,Manual,884999.0
1159,KIA SELTOS,2020,24366.0,Petrol,Manual,1135999.0
1160,Renault Duster,2017,76251.0,Diesel,Manual,826399.0
1161,Hyundai Verna,2018,33583.0,Petrol,Manual,805199.0
1162,Maruti Ciaz,2015,73292.0,Petrol,Manual,543599.0
1163,Honda Jazz,2021,7120.0,Petrol,Automatic,1106899.0
1164,Tata Tiago,2018,38077.0,Petrol,Manual,526999.0
1165,Ford Ecosport,2013,45596.0,Petrol,Manual,460599.0
1166,Maruti Alto 800,2018,28024.0,Petrol,Manual,311799.0
1167,Honda Jazz,2021,7236.0,Petrol,Automatic,1108799.0
1168,Maruti Ciaz,2016,64160.0,Diesel,Manual,652949.0
1169,Maruti Alto,2020,2542.0,Petrol,Manual,349309.0
1170,Renault TRIBER,2021,10823.0,Petrol,Manual,712999.0
1171,Honda Jazz,2021,9833.0,Petrol,Automatic,1108799.0
1172,Tata NEXON,2022,4075.0,Petrol,Manual,902599.0
1173,Maruti Ciaz,2017,46730.0,Petrol,Manual,703499.0
1174,Mahindra XUV 3OO,2019,37611.0,Diesel,Manual,932199.0
1175,Tata NEXON,2019,4403.0,Petrol,Automatic,909799.0
1176,Maruti Celerio,2017,53465.0,Petrol,Automatic,462199.0
1177,Toyota Innova Crysta,2018,44770.0,Diesel,Manual,1737899.0
1178,Maruti Wagon R 1.0,2018,16600.0,Petrol,Manual,442999.0
1179,Maruti Baleno,2016,17723.0,Petrol,Manual,530099.0
1180,MG HECTOR,2019,6678.0,Petrol,Automatic,1658599.0
1181,Honda Amaze,2017,19735.0,Petrol,Manual,505199.0
1182,Maruti Baleno,2017,40935.0,Petrol,Manual,565499.0
1183,Maruti Baleno,2016,78546.0,Petrol,Manual,528799.0
1184,Hyundai GRAND I10 NIOS,2020,7326.0,Petrol,Manual,659199.0
1185,Honda Jazz,2016,41963.0,Petrol,Automatic,542699.0
1186,Ford Ecosport,2015,51943.0,Diesel,Manual,624999.0
1187,Hyundai i20 Active,2016,45894.0,Petrol,Manual,630499.0
1188,Hyundai Elite i20,2015,18857.0,Petrol,Manual,573399.0
1189,Hyundai Verna,2018,14372.0,Petrol,Automatic,813499.0
1190,Hyundai Elite i20,2019,14928.0,Petrol,Manual,733699.0
1191,Maruti Wagon R 1.0,2014,21166.0,Petrol,Manual,399899.0
1192,Renault TRIBER,2020,10341.0,Petrol,Manual,701999.0
1193,Hyundai Creta,2016,52049.0,Petrol,Automatic,933699.0
1194,Hyundai Elite i20,2016,28737.0,Petrol,Manual,652599.0
1195,Maruti Alto 800,2017,18109.0,Petrol,Manual,316799.0
1196,Hyundai VENUE,2019,30456.0,Diesel,Manual,1090599.0
1197,Hyundai Verna,2019,31024.0,Petrol,Manual,968199.0
1198,Maruti Baleno,2016,54512.0,Petrol,Manual,575099.0
1199,Hyundai VENUE,2020,18055.0,Petrol,Manual,1014699.0
1200,Maruti Vitara Brezza,2019,56918.0,Diesel,Manual,798999.0
1201,Maruti Celerio X,2018,31312.0,Petrol,Automatic,541599.0
1202,Hyundai Elite i20,2015,63019.0,Petrol,Manual,560399.0
1203,Maruti S PRESSO,2021,15094.0,Petrol + CNG,Manual,575299.0
1204,Nissan Micra,2018,14728.0,Petrol,Automatic,599799.0
1205,Maruti Vitara Brezza,2020,27742.0,Petrol,Manual,920699.0
1206,Hyundai Elite i20,2019,19082.0,Petrol,Automatic,942399.0
1207,Ford Ecosport,2016,72622.0,Diesel,Manual,710599.0
1208,Ford Ecosport,2015,72902.0,Petrol,Automatic,630999.0
1209,Hyundai VENUE,2020,8130.0,Petrol,Manual,1017299.0
1210,Hyundai Grand i10,2015,30384.0,Petrol,Manual,468999.0
1211,KIA SELTOS,2020,8089.0,Diesel,Automatic,1882399.0
1212,Hyundai Elite i20,2019,22144.0,Petrol,Manual,691899.0
1213,Honda Amaze,2019,27054.0,Petrol,Manual,674899.0
1214,Hyundai NEW SANTRO,2020,24669.0,Petrol + CNG,Manual,644199.0
1215,Renault Kwid,2019,19719.0,Petrol,Automatic,490199.0
1216,Maruti Vitara Brezza,2018,29229.0,Diesel,Manual,967599.0
1217,Hyundai Elite i20,2016,53679.0,Petrol,Manual,602999.0
1218,Honda Amaze,2020,12744.0,Petrol,Manual,687399.0
1219,Volkswagen Vento,2015,64352.0,Diesel,Automatic,537199.0
1220,Jeep Compass,2019,27422.0,Petrol,Manual,1299499.0
1221,Maruti XL6,2019,13971.0,Petrol,Manual,988999.0
1222,Hyundai Grand i10,2019,32505.0,Petrol,Manual,531799.0
1223,Ford Ecosport,2019,51817.0,Petrol,Automatic,898999.0
1224,KIA SELTOS,2019,32580.0,Petrol,Automatic,1676299.0
1225,Hyundai Verna,2018,36971.0,Petrol,Automatic,948999.0
1226,Hyundai Grand i10,2017,24483.0,Petrol,Manual,499199.0
1227,MG HECTOR,2021,6360.0,Petrol,Automatic,1757699.0
1228,Hyundai Elite i20,2019,13450.0,Petrol,Manual,765299.0
1229,Hyundai Grand i10,2014,56412.0,Petrol,Manual,445899.0
1230,Hyundai Verna,2019,65697.0,Petrol,Manual,975099.0
1231,Maruti Baleno,2016,48245.0,Petrol,Manual,563799.0
1232,Hyundai Elite i20,2019,37340.0,Petrol,Manual,733699.0
1233,Honda Amaze,2019,17156.0,Petrol,Manual,690899.0
1234,Maruti Baleno,2017,65038.0,Petrol,Manual,568299.0
1235,Datsun Redi Go,2017,18354.0,Petrol,Manual,284899.0
1236,MG HECTOR PLUS,2021,9601.0,Petrol,Manual,1834299.0
1237,Toyota Innova Crysta,2016,215116.0,Diesel,Automatic,1277999.0
1238,Honda Civic,2019,6016.0,Petrol,Automatic,1492899.0
1239,Hyundai Creta,2016,67947.0,Petrol,Automatic,1066899.0
1240,Mahindra Thar,2019,17369.0,Diesel,Manual,925699.0
1241,MG HECTOR,2020,12538.0,Petrol,Automatic,1571899.0
1242,Hyundai Verna,2018,24832.0,Petrol,Manual,896699.0
