,Car Model,Year,Kilometers Driven,Fuel Type,Transmission Type,Price
2266,Hyundai Grand i10,2015,65802.0,Petrol,Automatic,503699.0
2267,Hyundai NEW SANTRO,2018,41343.0,Petrol,Manual,525499.0
2268,Hyundai Eon,2018,35055.0,Petrol,Manual,330499.0
2269,Hyundai Grand i10,2016,50265.0,Petrol,Automatic,474599.0
2270,Hyundai GRAND I10 NIOS,2019,26619.0,Petrol,Manual,671799.0
2271,Hyundai Grand i10,2017,19085.0,Petrol,Automatic,609199.0
2272,Maruti Wagon R 1.0,2014,61022.0,Petrol,Manual,367999.0
2273,Maruti S PRESSO,2020,21524.0,Petrol,Manual,448099.0
2274,Maruti S PRESSO,2020,8569.0,Petrol,,459199.0
2275,Hyundai Verna,2017,48864.0,Petrol,Automatic,1014499.0
2276,Maruti Baleno,2019,72354.0,Petrol,Automatic,837599.0
2277,Maruti Alto 800,2016,59748.0,Petrol,Manual,302399.0
2278,Hyundai i20 Active,2016,64624.0,Petrol,Manual,649899.0
2279,Tata Hexa,2019,46593.0,Diesel,Manual,1705799.0
2280,Hyundai Eon,2017,61352.0,Petrol,Manual,307299.0
2281,Maruti S PRESSO,2019,33485.0,Petrol,Manual,458099.0
2282,Hyundai Elite i20,2017,68839.0,Petrol,Manual,619499.0
2283,Ford FREESTYLE,2019,28505.0,Petrol,Manual,659899.0
2284,Maruti Baleno,2017,39853.0,Petrol,Manual,607399.0
2285,Hyundai GRAND I10 NIOS,2020,65594.0,Petrol,Automatic,730299.0
2286,Hyundai Elite i20,2018,48374.0,Petrol,Manual,641399.0
2287,Renault Captur,2018,50046.0,Diesel,Manual,909199.0
2288,Hyundai Grand i10,2017,60633.0,Petrol,Manual,490699.0
2289,Maruti Wagon R 1.0,2017,35863.0,Petrol,Manual,423299.0
2290,Hyundai Grand i10,2015,88560.0,Petrol,Manual,430999.0
2291,Hyundai Eon,2017,34197.0,Petrol,Manual,337099.0
2292,Hyundai Elite i20,2018,55956.0,Petrol,Manual,636399.0
2293,Ford Ecosport,2018,20463.0,Petrol,Manual,830399.0
2294,Maruti S PRESSO,2020,9007.0,Petrol,Manual,476199.0
2295,Maruti S PRESSO,2019,28747.0,Petrol,Manual,469699.0
2296,Hyundai i20 Active,2015,101906.0,Petrol,Manual,540299.0
2297,Maruti IGNIS,2017,52644.0,Petrol,Manual,553599.0
2298,Hyundai Eon,2017,43078.0,Petrol,Manual,337099.0
2299,Maruti S PRESSO,2020,11854.0,Petrol,Automatic,522199.0
2300,Tata Hexa,2019,34652.0,Diesel,Manual,1829599.0
2301,Maruti S PRESSO,2020,36708.0,Petrol,Manual,425999.0
2302,Ford Figo Aspire,2019,43839.0,Petrol,Manual,642899.0
2303,Maruti Baleno,2015,61060.0,Petrol,Manual,543599.0
2304,Maruti Wagon R 1.0,2016,65538.0,Petrol,Manual,413999.0
2305,Renault Kwid,2018,24546.0,Petrol,Automatic,418399.0
2306,Maruti Wagon R 1.0,2017,63746.0,Petrol,Manual,413799.0
2307,Hyundai Elite i20,2015,77258.0,Petrol,Manual,539499.0
2308,Maruti IGNIS,2017,40679.0,Petrol,Manual,461899.0
2309,Maruti Baleno,2016,93190.0,Petrol,Manual,633599.0
2310,Renault Kwid,2017,31148.0,Petrol,Automatic,389899.0
2311,Maruti Baleno,2017,78361.0,Petrol,Manual,597399.0
2312,Hyundai GRAND I10 NIOS,2020,60482.0,Petrol,Automatic,641299.0
2313,Maruti Alto K10,2016,45857.0,Petrol,Manual,341199.0
2314,Hyundai Grand i10,2019,86096.0,Petrol,Automatic,571299.0
2315,Hyundai Eon,2017,29770.0,Petrol,Manual,365199.0
2316,Hyundai Grand i10,2016,35228.0,Petrol,Manual,512399.0
2317,Honda City,2017,51041.0,Petrol,Manual,800999.0
2318,Maruti Alto,2019,13835.0,Petrol,Manual,351999.0
2319,Hyundai Elite i20,2018,89791.0,Petrol,Manual,603999.0
2320,Hyundai Grand i10,2016,75800.0,Petrol,Automatic,467899.0
2321,Maruti Wagon R 1.0,2014,70329.0,Petrol,Manual,372149.0
2322,Maruti Alto 800,2017,64746.0,Petrol,Manual,299099.0
2323,Maruti Wagon R 1.0,2017,28948.0,Petrol,Automatic,494199.0
2324,Maruti S PRESSO,2019,26658.0,Petrol,Manual,445599.0
2325,Maruti Baleno,2016,79898.0,Petrol,Manual,604299.0
2326,Hyundai Elite i20,2017,59099.0,Petrol,Manual,605999.0
2327,Hyundai i20 Active,2016,75308.0,Petrol,Manual,619799.0
2328,Toyota YARIS,2020,23415.0,Petrol,Manual,1070499.0
2329,Maruti Wagon R 1.0,2019,25746.0,Petrol,Manual,467399.0
2330,Maruti Alto,2019,35981.0,Petrol,Manual,407199.0
2331,Ford FREESTYLE,2019,22166.0,Petrol,Manual,634299.0
2332,Maruti Alto K10,2017,19162.0,Petrol,Automatic,436599.0
